web_scraper_order,web_scraper_start_url,price_cny,weight_kg,name,product_links
"1779471691-1","https://s.1688.com/selloffer/offer_search.htm?keywords=logitech&spm=a260k.home2025.searchbox.0&charset=utf8&sortType=price&descendOrder=true&beginPage=1","","Gpw4 eagle eye black","Logitech GPW4 Generation Hawkeye Wireless Game Mouse Upgraded Edition Bullshit King 4 Generation Ergonomic Lightweight","https://detail.1688.com/offer/847234658559.html"
"1779471696-2","https://s.1688.com/selloffer/offer_search.htm?keywords=logitech&spm=a260k.home2025.searchbox.0&charset=utf8&sortType=price&descendOrder=true&beginPage=1","￥725","Gprox superlight 2 (shit king iii) black","Suitable for Logitech Gprox Superlight 2 Dogpiwang Third-Generation Wireless Gaming Mouse","https://detail.1688.com/offer/1041123253691.html"
"1779471701-3","https://s.1688.com/selloffer/offer_search.htm?keywords=logitech&spm=a260k.home2025.searchbox.0&charset=utf8&sortType=price&descendOrder=true&beginPage=1","￥749","Black","Logitech Mx Master4 High-Performance Business Ergonomic Mouse Wireless Bluetooth Dual","https://detail.1688.com/offer/995664001837.html"
"1779471706-4","https://s.1688.com/selloffer/offer_search.htm?keywords=logitech&spm=a260k.home2025.searchbox.0&charset=utf8&sortType=price&descendOrder=true&beginPage=1","￥759","300","罗技 GPW4 鹰眼GPROX SUPERLIGHT2 DEX 无线游戏鼠标网吧网咖","https://detail.1688.com/offer/1046576239160.html"
"1779471711-5","https://s.1688.com/selloffer/offer_search.htm?keywords=logitech&spm=a260k.home2025.searchbox.0&charset=utf8&sortType=price&descendOrder=true&beginPage=1","￥847","310","Logitech (g) Gpw4 Generation Wireless Gaming Mouse for Small Hands, Dual-Mode Mechanical","https://detail.1688.com/offer/979913777922.html"
"1779471717-6","https://s.1688.com/selloffer/offer_search.htm?keywords=logitech&spm=a260k.home2025.searchbox.0&charset=utf8&sortType=price&descendOrder=true&beginPage=1","￥1079","1000","Suitable for Logitech Gpw4 Puppy Wireless Mouse Gaming E-Sports Peripherals Gpw4 Mouse Pink","https://detail.1688.com/offer/999743258053.html"
"1779471721-7","https://s.1688.com/selloffer/offer_search.htm?keywords=logitech&spm=a260k.home2025.searchbox.0&charset=utf8&sortType=price&descendOrder=true&beginPage=1","￥1176.45","100","Suitable for Logitech Gpw2 King Kong Wireless Mouse, the Second Generation Gaming E-Sports Gpw 2 King Kong Edition - Red","https://detail.1688.com/offer/1053081637447.html"
"1779471726-8","https://s.1688.com/selloffer/offer_search.htm?keywords=logitech&spm=a260k.home2025.searchbox.0&charset=utf8&sortType=price&descendOrder=true&beginPage=1","￥1272","Gpw5 snow leopard","Logitech Gpw5 Snow Leopard Wireless Mouse Electromagnetic Micro-Motion Gaming Mouse Gpw5","https://detail.1688.com/offer/1039748991398.html"
"1779471731-9","https://s.1688.com/selloffer/offer_search.htm?keywords=logitech&spm=a260k.home2025.searchbox.0&charset=utf8&sortType=price&descendOrder=true&beginPage=1","￥1290","GPW-5白色","适用罗技无线鼠标gpw5狗屁王五代雪豹","https://detail.1688.com/offer/1045659410224.html"
"1779471736-10","https://s.1688.com/selloffer/offer_search.htm?keywords=logitech&spm=a260k.home2025.searchbox.0&charset=utf8&sortType=price&descendOrder=true&beginPage=1","￥1295","GPW5白色","适用罗技GPW5雪豹无线鼠标 狗屁王五代8K电磁微动电竞游戏双模","https://detail.1688.com/offer/1046616789365.html"
"1779471741-11","https://s.1688.com/selloffer/offer_search.htm?keywords=logitech&spm=a260k.home2025.searchbox.0&charset=utf8&sortType=price&descendOrder=true&beginPage=1","","Logitech gpw-5 snow leopard","Suitable for Logitech Gpw5 Snow Leopard Wireless Mouse, Electromagnetic Micro-Movement 8K E-Sports Gaming Mouse, Gpw5","https://detail.1688.com/offer/1053638588677.html"
"1779471745-12","https://s.1688.com/selloffer/offer_search.htm?keywords=logitech&spm=a260k.home2025.searchbox.0&charset=utf8&sortType=price&descendOrder=true&beginPage=1","￥1350","12","Logitech Gpro X Superstrike 5Th Generation Snow Leopard Wireless Gaming Mouse Is Suitable for Use","https://detail.1688.com/offer/1037636974156.html"
"1779471750-13","https://s.1688.com/selloffer/offer_search.htm?keywords=logitech&spm=a260k.home2025.searchbox.0&charset=utf8&sortType=price&descendOrder=true&beginPage=1","￥1369","GPW5雪豹","罗技GPW5雪豹无线鼠标 狗屁王五代8K电磁微动电竞游戏双模轻量化","https://detail.1688.com/offer/1042734894295.html"
"1779471754-14","https://s.1688.com/selloffer/offer_search.htm?keywords=logitech&spm=a260k.home2025.searchbox.0&charset=utf8&sortType=price&descendOrder=true&beginPage=1","￥2362","Black","Logitech Master Series Mx Master 4 High Performance Wireless Bluetooth Mouse","https://detail.1688.com/offer/989557767347.html"
"1779471759-15","https://s.1688.com/selloffer/offer_search.htm?keywords=logitech&spm=a260k.home2025.searchbox.0&charset=utf8&sortType=price&descendOrder=true&beginPage=1","￥2561","60","Suitable for Logitech Gpw4 Puppy Wireless Mouse Gaming E-Sports Peripherals Gpw4 Mouse Black","https://detail.1688.com/offer/999426102399.html"
